county,mean_stars,mean_review_count,mean_is_open,mean_RestaurantsTableService,mean_BikeParking,mean_WiFi,mean_BusinessAcceptsCreditCards,mean_RestaurantsReservations,mean_WheelchairAccessible,mean_Caters,mean_OutdoorSeating,mean_RestaurantsGoodForGroups,mean_BusinessAcceptsBitcoin,max_stars,max_review_count,min_stars,min_review_count,county
Seminole,3.5869447453954497,32.08938244853738,0.8152762730227519,0.08504875406283857,0.39869989165763814,0.2524377031419285,0.8177139761646804,0.08640303358613217,0.1784940411700975,0.16549295774647887,0.1533044420368364,0.24945828819068255,0.002437703141928494,5.0,991.0,1.0,5.0,Seminole
Sheridan,1.5,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5,9.0,1.5,9.0,Sheridan
Skamania,5.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,Skamania
Snohomish,4.5,42.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,5.0,115.0,4.0,5.0,Snohomish
Spalding,4.0,18.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,18.0,4.0,18.0,Spalding
St. Tammany Parish,4.5,71.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.5,71.0,4.5,71.0,St. Tammany Parish
Suffolk,3.5893251742308347,77.32797892231855,0.7202957674655788,0.0706272310045895,0.35585585585585583,0.2124766275709672,0.7413734489206187,0.10513343532211457,0.12978072412034677,0.13674995750467447,0.09748427672955975,0.24069352371239164,0.003484616692163862,5.0,7298.0,1.0,5.0,Suffolk
Tillamook,4.5,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,8.0,4.5,8.0,Tillamook
Travis,3.852487766855757,60.715238383925865,0.7500974321222882,0.040401853375481744,0.3348200753475079,0.20010392759710735,0.7640410514008574,0.054215563157666825,0.16857922314121163,0.10652578703503227,0.14138483523145542,0.1850344260165418,0.00554280517905859,5.0,4942.0,1.0,5.0,Travis
Union,3.5,11.0,0.7142857142857143,0.0,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.0,4.5,21.0,2.5,5.0,Union
Victoria,3.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,5.0,Victoria
Volusia,3.393979057591623,21.547120418848166,0.8664921465968587,0.08638743455497382,0.35602094240837695,0.25654450261780104,0.819371727748691,0.07853403141361257,0.12303664921465969,0.1544502617801047,0.12041884816753927,0.3036649214659686,0.005235602094240838,5.0,275.0,1.0,5.0,Volusia
Walton,3.75,7.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,2.5,7.0,Walton
Wasco,5.0,24.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,5.0,24.0,Wasco
Washington,3.6984331797235024,43.45345622119816,0.8016589861751152,0.04847926267281106,0.3950230414746544,0.19410138248847927,0.7931797235023041,0.060829493087557605,0.16534562211981566,0.11096774193548387,0.11465437788018433,0.1784331797235023,0.0029493087557603687,5.0,1513.0,1.0,5.0,Washington
Weld,3.25,29.333333333333332,0.8333333333333334,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.75,0.0,0.25,0.25,0.25,0.25,0.0,5.0,185.0,2.0,6.0,Weld
Westchester,3.5,98.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,98.0,3.5,98.0,Westchester
Williamson,3.814935064935065,42.42857142857143,0.7824675324675324,0.016233766233766232,0.25,0.15584415584415584,0.8214285714285714,0.02922077922077922,0.1038961038961039,0.07792207792207792,0.10064935064935066,0.11688311688311688,0.003246753246753247,5.0,735.0,1.5,5.0,Williamson
Wood,2.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,6.0,Wood
Worcester,4.0,40.5,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,73.0,3.0,8.0,Worcester
